axis,threshold,n_2M,n_2B,recall_2M,fp_2B,net_benefit
fb_single,-0.25,37,36,0.432,0.5,-0.068
fb_single,-0.5,37,36,0.405,0.333,0.072
fb_single,-0.75,37,36,0.324,0.25,0.074
fb_single,-1.0,37,36,0.189,0.167,0.023
fb_single,-1.25,37,36,0.081,0.111,-0.03
fb_single,-1.5,37,36,0.027,0.028,-0.001
heparan_single,-0.25,37,36,0.486,0.278,0.209
heparan_single,-0.5,37,36,0.405,0.222,0.183
heparan_single,-0.75,37,36,0.351,0.167,0.185
heparan_single,-1.0,37,36,0.27,0.139,0.131
heparan_single,-1.25,37,36,0.162,0.111,0.051
heparan_single,-1.5,37,36,0.081,0.083,-0.002
"mean(fb,heparan)",-0.25,37,36,0.378,0.333,0.045
"mean(fb,heparan)",-0.5,37,36,0.297,0.194,0.103
"mean(fb,heparan)",-0.75,37,36,0.243,0.056,0.188
"mean(fb,heparan)",-1.0,37,36,0.162,0.028,0.134
"mean(fb,heparan)",-1.25,37,36,0.054,0.0,0.054
"mean(fb,heparan)",-1.5,37,36,0.027,0.0,0.027
